paraphrase_name,count,mean,std,min,25%,50%,75%,max
Typo Missing Vowels,1489.0,3.9610476830087307,3.721824326990393,0.0,0.0,3.0,8.0,10.0
Esperanto,1490.0,3.9604026845637583,3.736867648754021,0.0,0.0,3.0,8.0,10.0
Regex Pattern,1492.0,3.8438337801608577,3.828360867101942,0.0,0.0,2.0,8.0,10.0
Fewest Words,1493.0,3.7039517749497657,3.6352779490858445,0.0,0.0,3.0,7.0,10.0
Csv Row,1492.0,3.6052278820375334,3.397091036964906,0.0,0.0,3.0,6.0,10.0
Lyrical,1493.0,3.507032819825854,3.8402391984704614,0.0,0.0,2.0,7.0,10.0
Poetic,1493.0,3.245144005358339,3.798570820388364,0.0,0.0,1.0,7.0,10.0
Haiku,1492.0,3.2091152815013406,3.7395735698544357,0.0,0.0,1.0,6.0,10.0
Sql Snippet,1492.0,3.2071045576407506,3.729718658121338,0.0,0.0,1.0,6.0,10.0
Small Hex Blob,1493.0,2.3281982585398526,3.618835041814274,0.0,0.0,0.0,4.0,10.0
Klingon,1490.0,1.0389261744966443,2.5470379802271115,0.0,0.0,0.0,0.0,10.0
Emoji Only,1490.0,0.9939597315436242,2.3837576700817418,0.0,0.0,0.0,0.0,10.0
Base64,1489.0,0.9704499664204164,2.2415761961381273,0.0,0.0,0.0,0.0,10.0
Reversed Text,1489.0,0.6393552719946273,1.9415750210952634,0.0,0.0,0.0,0.0,10.0
Morse Code,1490.0,0.5671140939597316,1.8834025677227866,0.0,0.0,0.0,0.0,10.0
Rot13,1489.0,0.4600402955003358,1.626368819182657,0.0,0.0,0.0,0.0,10.0
